album_id,album_id_matrix,artist_id,artist_id_matrix,play_count
al_0,0,ar_0,0,54568475
al_1,1,ar_0,0,4681
al_2,2,ar_2,2,80860959
al_3,3,ar_5,5,11545
al_4,4,ar_7,7,70311619
al_5,5,ar_0,0,25198408
al_6,6,ar_1,1,1767251
al_7,7,ar_8,8,3067925
al_8,8,ar_9,9,87
al_9,9,ar_10,10,37716466
al_10,10,ar_11,11,18917716
al_11,11,ar_1,1,11582806
al_12,12,ar_1,1,43389293
al_13,13,ar_2,2,81004720
al_14,14,ar_8,8,377230
al_15,15,ar_5,5,13377628
al_16,16,ar_7,7,5800
al_17,17,ar_13,13,35198668
al_18,18,ar_14,14,284783
al_19,19,ar_15,15,18745637
al_20,20,ar_17,17,19111718
al_21,21,ar_17,17,15655137
al_22,22,ar_4,4,145135899
al_23,23,ar_4,4,67073239
al_24,24,ar_18,18,1261393
al_25,25,ar_1,1,48164
al_26,26,ar_19,19,579798
al_27,27,ar_20,20,30345088
al_28,28,ar_8,8,197262
al_29,29,ar_8,8,1689356
al_30,30,ar_21,21,149286
al_31,31,ar_22,22,11831
al_32,32,ar_23,23,9961047
al_33,33,ar_24,24,13147193
al_34,34,ar_7,7,3085697
al_35,35,ar_7,7,2850049
al_36,36,ar_25,25,22952
al_37,37,ar_26,26,70909260
al_38,38,ar_0,0,71035549
al_39,39,ar_0,0,46263622
al_40,40,ar_27,27,74669
al_41,41,ar_27,27,53400690
al_42,42,ar_28,28,54868
al_43,43,ar_29,29,877624
al_44,44,ar_9,9,43948
al_45,45,ar_30,30,95869
al_46,46,ar_10,10,21697563
al_47,47,ar_31,31,9465
al_48,48,ar_13,13,9864940
al_49,49,ar_32,32,191057
al_50,50,ar_11,11,303307
al_51,51,ar_34,34,2221548
al_52,52,ar_36,36,37934779
al_53,53,ar_37,37,472978
al_54,54,ar_37,37,47933
al_55,55,ar_37,37,1865139
al_56,56,ar_37,37,82110
al_57,57,ar_38,38,36995
al_58,58,ar_17,17,944031
al_59,59,ar_4,4,94671
al_60,60,ar_4,4,2728850
al_61,61,ar_40,40,21785590
al_62,62,ar_41,41,4424
al_63,63,ar_43,43,5426234
al_64,64,ar_44,44,31399636
al_65,65,ar_44,44,4680
al_66,66,ar_2,2,9708561
al_67,67,ar_2,2,3537
al_68,68,ar_45,45,6791049
al_69,69,ar_46,46,57848698
al_70,70,ar_46,46,2912352
al_71,71,ar_47,47,18603688
al_72,72,ar_48,48,8937
al_73,73,ar_48,48,5644
al_74,74,ar_49,49,1919938
al_75,75,ar_50,50,944
al_76,76,ar_51,51,5553476
al_77,77,ar_8,8,103963
al_78,78,ar_8,8,5734
al_79,79,ar_22,22,11924
al_80,80,ar_52,52,11724409
al_81,81,ar_5,5,671
al_82,82,ar_5,5,124439
al_83,83,ar_5,5,14764016
al_84,84,ar_54,54,40799
al_85,85,ar_55,55,23147229
al_86,86,ar_25,25,179
al_87,87,ar_57,57,703042
al_88,88,ar_58,58,13589
